hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
-,-,-,-,-,-,-,9,8,326,-
-,-,-,-,-,-,-,9,9,20781,-
-,-,-,-,-,-,-,9,1,1719,-
-,-,-,-,-,-,-,9,2,21117,-
-,-,-,-,-,-,-,9,3,4089,-
-,-,-,-,-,-,-,9,4,5712,-
-,-,-,-,-,-,-,9,5,5625,-
-,-,-,-,-,-,-,9,6,2487,-
-,-,-,-,-,-,-,9,7,1680,-
-,-,-,-,-,-,-,9,8,326,-
-,-,-,-,-,-,-,9,9,20781,-
-,-,-,-,-,-,-,9,1,286,-
-,-,-,-,-,-,-,9,2,3519,-
-,-,-,-,-,-,-,9,3,681,-
-,-,-,-,-,-,-,9,4,952,-
-,-,-,-,-,-,-,9,5,937,-
-,-,-,-,-,-,-,9,6,414,-
-,-,-,-,-,-,-,9,7,280,-
-,-,-,-,-,-,-,9,8,54,-
-,-,-,-,-,-,-,9,9,3463,-
-,-,-,-,-,-,-,8,1,1279,B
-,-,-,-,-,-,-,8,2,346,B
3c,6h,-,-,-,-,-,8,3,340,r
-,-,-,-,-,-,-,8,4,150,c
-,-,-,-,-,-,-,8,5,101,c
-,-,-,-,-,-,-,8,6,19,f
